Transmitter,Symbol_Index,dim0_real,dim0_imag,dim1_real,dim1_imag
TX1,0,-0.42261770,0.90630805,0.40372896,-0.91487861
TX1,1,0.58090717,-0.81396973,-0.38665906,0.92222279
TX1,2,0.99248052,0.12240273,0.74741775,-0.66435421
TX1,3,0.99956864,-0.02936858,-0.98610663,0.16611373
TX1,4,0.83339155,-0.55268294,0.99691308,-0.07851323
TX1,5,-0.99874210,-0.05014184,0.99012065,-0.14021768
TX1,6,0.54595280,0.83781594,-0.63206077,-0.77491885
TX1,7,-0.50187576,-0.86493969,0.64331996,0.76559746
TX2,0,0.92106313,-0.38941333,0.86322492,-0.50481951
TX2,1,0.44670081,0.89468330,0.54062718,0.84126234
TX2,2,-0.48079127,-0.87683499,-0.61511028,-0.78844106
TX2,3,-0.91212100,0.40992111,-0.85377330,0.52064478
